submission_id,RT,age,comments,correctness,cue_category,cue_type,education,endTime,expected,experiment_id,gender,image_category,info,key_pressed,languages,picture,question,sound,startDate,startTime,timeSpent,trial_number,trial_type;
1974,3957,22,,correct,bird,sound,Graduated High School/ Abitur,1595963463030,match,162,female/ weiblich,bird,congruent,y,deutsch,materials/images/bird_owl_1.jpg, ,materials/sounds/bird_owl.wav,Tue Jul 28 2020 20:50:24 GMT+0200 (Mitteleuropäische Sommerzeit),1595962224719,20.638516666666668,1,practice;
1974,1970,22,,correct,bird,label,Graduated High School/ Abitur,1595963463030,no match,162,female/ weiblich,phone,label_incorrect,n,deutsch,materials/images/phone_cell_1.jpg, ,materials/labels/bird_male.wav,Tue Jul 28 2020 20:50:24 GMT+0200 (Mitteleuropäische Sommerzeit),1595962224719,20.638516666666668,2,practice;
1974,1222,22,,correct,bird,label,Graduated High School/ Abitur,1595963463030,no match,162,female/ weiblich,motorcycle,label_incorrect,n,deutsch,materials/images/motorcycle_small_2.jpg, ,materials/labels/bird_female.wav,Tue Jul 28 2020 20:50:24 GMT+0200 (Mitteleuropäische Sommerzeit),1595962224719,20.638516666666668,3,practice;
1974,1664,22,,correct,bird,label,Graduated High School/ Abitur,1595963463030,match,162,female/ weiblich,bird,label_correct,y,deutsch,materials/images/bird_owl_1.jpg, ,materials/labels/bird_female.wav,Tue Jul 28 2020 20:50:24 GMT+0200 (Mitteleuropäische Sommerzeit),1595962224719,20.638516666666668,4,practice;
1974,1851,22,,correct,bird,sound,Graduated High School/ Abitur,1595963463030,match,162,female/ weiblich,bird,incongruent,y,deutsch,materials/images/bird_sparrow_1.jpg, ,materials/sounds/bird_owl.wav,Tue Jul 28 2020 20:50:24 GMT+0200 (Mitteleuropäische Sommerzeit),1595962224719,20.638516666666668,5,practice;
1974,1128,22,,correct,bird,sound,Graduated High School/ Abitur,1595963463030,no match,162,female/ weiblich,motorcycle,sound_incorrect,n,deutsch,materials/images/motorcycle_big_2.jpg, ,materials/sounds/bird_sparrow.wav,Tue Jul 28 2020 20:50:24 GMT+0200 (Mitteleuropäische Sommerzeit),1595962224719,20.638516666666668,6,practice;
1974,1043,22,,correct,bird,label,Graduated High School/ Abitur,1595963463030,no match,162,female/ weiblich,phone,label_incorrect,n,deutsch,materials/images/phone_cell_2.jpg, ,materials/labels/bird_male.wav,Tue Jul 28 2020 20:50:24 GMT+0200 (Mitteleuropäische Sommerzeit),1595962224719,20.638516666666668,1,main;
1974,822,22,,correct,drum,label,Graduated High School/ Abitur,1595963463030,match,162,female/ weiblich,drum,label_correct,y,deutsch,materials/images/drum_kit_2.jpg, ,materials/labels/drum_male.wav,Tue Jul 28 2020 20:50:24 GMT+0200 (Mitteleuropäische Sommerzeit),1595962224719,20.638516666666668,2,main;
1974,658,22,,correct,bird,label,Graduated High School/ Abitur,1595963463030,no match,162,female/ weiblich,phone,label_incorrect,n,deutsch,materials/images/phone_rotary_1.jpg, ,materials/labels/bird_female.wav,Tue Jul 28 2020 20:50:24 GMT+0200 (Mitteleuropäische Sommerzeit),1595962224719,20.638516666666668,3,main;
1974,685,22,,correct,motorcycle,label,Graduated High School/ Abitur,1595963463030,match,162,female/ weiblich,motorcycle,label_correct,y,deutsch,materials/images/motorcycle_small_1.jpg, ,materials/labels/motorcycle_male.wav,Tue Jul 28 2020 20:50:24 GMT+0200 (Mitteleuropäische Sommerzeit),1595962224719,20.638516666666668,4,main;
